"nom","groupe_musculaire","muscles_secondaires","type","materiel","niveau","description","conseils","image"
"Développé couché","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Barre","intermédiaire","Développé couché est un exercice de pectoraux réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-couche.png"
"Développé couché haltères","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Haltères","intermédiaire","Développé couché haltères est un exercice de pectoraux réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-couche-halteres.png"
"Développé incliné barre","Pectoraux","Dentelé antérieur","polyarticulaire","Barre","intermédiaire","Développé incliné barre est un exercice de pectoraux réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-incline-barre.png"
"Développé incliné haltères","Pectoraux","Dentelé antérieur","polyarticulaire","Haltères","intermédiaire","Développé incliné haltères est un exercice de pectoraux réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-incline-halteres.png"
"Développé décliné","Pectoraux","Deltoïdes antérieurs","polyarticulaire","Barre / haltères","intermédiaire","Développé décliné est un exercice de pectoraux réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-decline.png"
"Pompes classiques","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Poids du corps","débutant","Pompes classiques est un exercice de pectoraux réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-classiques.png"
"Pompes inclinées","Pectoraux","Dentelé antérieur","polyarticulaire","Poids du corps","débutant","Pompes inclinées est un exercice de pectoraux réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-inclinees.png"
"Pompes déclinées","Pectoraux","Deltoïdes antérieurs","polyarticulaire","Poids du corps","intermédiaire","Pompes déclinées est un exercice de pectoraux réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-declinees.png"
"Pompes diamant","Pectoraux","Deltoïdes antérieurs; Abdominaux","polyarticulaire","Poids du corps","intermédiaire","Pompes diamant est un exercice de pectoraux réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-diamant-pectoraux.png"
"Pompes explosives","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Poids du corps","avancé","Pompes explosives est un exercice de pectoraux réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pompes-explosives.png"
"Écarté couché haltères","Pectoraux","Deltoïdes antérieurs","isolation","Haltères","intermédiaire","Écarté couché haltères est un exercice de pectoraux réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/ecarte-couche-halteres.png"
"Écarté incliné haltères","Pectoraux","Dentelé antérieur","polyarticulaire","Haltères","intermédiaire","Écarté incliné haltères est un exercice de pectoraux réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/ecarte-incline-halteres.png"
"Écarté à la poulie","Pectoraux","Deltoïdes antérieurs","isolation","Poulie","intermédiaire","Écarté à la poulie est un exercice de pectoraux réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/ecarte-a-la-poulie.png"
